Name,Month,Year
Codeforces Round 977 (Div. 2),October,2024
Codeforces Round 977 (Div. 2),October,2024
Codeforces Round 977 (Div. 2),October,2024
Codeforces Round 977 (Div. 2),October,2024
Codeforces Round 977 (Div. 2),October,2024
Codeforces Round 977 (Div. 2),October,2024
Codeforces Round 977 (Div. 1),October,2024
Kotlin Heroes: Episode 11,September,2024
Codeforces Round 976 (Div. 2) and Divide By Zero 9.0,September,2024
Codeforces Round 975 (Div. 1),September,2024
Codeforces Round 975 (Div. 2),September,2024
Codeforces Round 974 (Div. 3),September,2024
Codeforces Round 973 (Div. 2),September,2024
Kotlin Heroes: Practice 11,September,2024
2024 ICPC World Finals: JetBrains Tech Trek,September,2024
Codeforces Round 972 (Div. 2),September,2024
Codeforces Round 971 (Div. 4),September,2024
Codeforces Round 970 (Div. 3),September,2024
Codeforces Round 969 (Div. 1),August,2024
Codeforces Round 969 (Div. 2),August,2024
Testing Round 19 (Div. 3),August,2024
Codeforces Round 968 (Div. 2),August,2024
Codeforces Round 967 (Div. 2),August,2024
Educational Codeforces Round 169 (Rated for Div. 2),August,2024
Codeforces Round 966 (Div. 3),August,2024
EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),August,2024
Codeforces Round 965 (Div. 2),August,2024
Codeforces Round 964 (Div. 4),August,2024
Codeforces Round 963 (Div. 2),August,2024
Educational Codeforces Round 168 (Rated for Div. 2),July,2024
Pinely Round 4 (Div. 1 + Div. 2),July,2024
Codeforces Round 962 (Div. 3),July,2024
Codeforces Round 961 (Div. 2),July,2024
Codeforces Round 960 (Div. 2),July,2024
Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),July,2024
Codeforces Round 958 (Div. 2),July,2024
Codeforces Round 957 (Div. 3),July,2024
Codeforces Round 956 (Div. 2) and ByteRace 2024,July,2024
EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),June,2024
Educational Codeforces Round 167 (Rated for Div. 2),June,2024
"Codeforces Round 955 (Div. 2, with prizes from NEAR!)",June,2024
Codeforces Round 954 (Div. 3),June,2024
Codeforces Round 953 (Div. 2),June,2024
Codeforces Round 952 (Div. 4),June,2024
Codeforces Global Round 26,June,2024
Codeforces Round 951 (Div. 2),June,2024
Codeforces Round 950 (Div. 3),June,2024
Codeforces Round 949 (Div. 2),May,2024
Educational Codeforces Round 166 (Rated for Div. 2),May,2024
Codeforces Round 948 (Div. 2),May,2024
Codeforces Round 947 (Div. 1 + Div. 2),May,2024
Codeforces Round 946 (Div. 3),May,2024
Codeforces Round 945 (Div. 2),May,2024
Kotlin Heroes: Episode 10,May,2024
Codeforces Round 944 (Div. 4),May,2024
Kotlin Heroes: Practice 10,May,2024
2023 Post World Finals Online ICPC Challenge powered by Huawei,May,2024
"Helvetic Coding Contest 2024 online mirror (teams allowed, unrated)",May,2024
Codeforces Round 943 (Div. 3),May,2024
Codeforces Round 942 (Div. 1),April,2024
Codeforces Round 942 (Div. 2),April,2024
Educational Codeforces Round 165 (Rated for Div. 2),April,2024
Codeforces Round 941 (Div. 1),April,2024
Codeforces Round 941 (Div. 2),April,2024
Codeforces Round 940 (Div. 2) and CodeCraft-23,April,2024
Codeforces Round 939 (Div. 2),April,2024
Educational Codeforces Round 164 (Rated for Div. 2),April,2024
Codeforces Round 938 (Div. 3),April,2024
Codeforces Global Round 25,April,2024
April Fools Day Contest 2024,April,2024
"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)",March,2024
Codeforces Round 937 (Div. 4),March,2024
"European Championship 2024 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)",March,2024
Codeforces Round 936 (Div. 2),March,2024
Codeforces Round 935 (Div. 3),March,2024
Codeforces Round 934 (Div. 1),March,2024
Codeforces Round 934 (Div. 2),March,2024
Educational Codeforces Round 163 (Rated for Div. 2),March,2024
Codeforces Round 933 (Div. 3),March,2024
"XVIII Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)",March,2024
"XVIII Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)",March,2024
Codeforces Round 932 (Div. 2),March,2024
